line_id,date,total_revenue_egp,total_trips,total_passengers
Line2,2024-01-06,158457,526,12874
Line2,2024-01-07,75865,229,6027
Line2,2024-01-08,241363,790,19564
Line2,2024-01-09,250711,810,20058
Line2,2024-01-10,250702,800,20291
Line2,2024-01-11,270775,848,21751
Line2,2024-01-12,164543,503,13825
Line2,2024-01-13,168271,505,13681
Line2,2024-01-14,175936,518,14212
Line2,2024-01-15,190349,559,15584
Line2,2024-01-16,161283,512,13018
Line2,2024-01-17,199028,592,16001
Line2,2024-01-18,180658,572,14681
Line2,2024-01-19,179950,554,14497
Line2,2024-01-20,147336,512,12184
Line2,2024-01-21,198033,579,15735
Line2,2024-01-22,194522,587,15600
Line2,2024-01-23,165073,562,13425
Line2,2024-01-24,167796,530,13755
Line2,2024-01-25,75130,257,6037
Line2,2024-01-26,194616,579,16168
Line2,2024-01-27,193524,559,15220
Line2,2024-01-28,186561,565,15194
Line2,2024-01-29,194282,595,15910
Line2,2024-01-30,185030,585,15215
Line2,2024-01-31,182731,568,14778
Line2,2024-02-01,172162,554,14069
Line2,2024-02-02,181201,549,14599
Line2,2024-02-03,166387,573,13650
Line2,2024-02-04,179336,579,14625
Line2,2024-02-05,175981,577,14671
Line2,2024-02-06,185681,575,14937
Line2,2024-02-07,196994,616,16144
Line2,2024-02-08,179200,564,14416
Line2,2024-02-09,161800,550,12932
Line2,2024-02-10,194912,589,15900
Line2,2024-02-11,128314,466,10549
Line2,2024-02-12,251979,772,20290
Line2,2024-02-13,264856,786,21465
Line2,2024-02-14,241255,826,19785
Line2,2024-02-15,267854,822,21842
Line2,2024-02-16,176024,518,14442
Line2,2024-02-17,171506,502,13694
Line2,2024-02-18,148244,443,11923
Line2,2024-02-19,282813,895,23448
Line2,2024-02-20,289670,860,23781
Line2,2024-02-21,285598,868,22983
Line2,2024-02-22,274612,842,22405
Line2,2024-02-23,177213,534,14494
Line2,2024-02-24,161431,524,12989
Line2,2024-02-25,161778,485,13358
Line2,2024-02-26,254022,822,20631
Line2,2024-02-27,262204,806,21072
Line2,2024-02-28,279150,824,22481
Line2,2024-02-29,265563,831,21737
Line2,2024-03-01,164398,510,13295
Line2,2024-03-02,160224,501,12882
Line2,2024-03-03,163847,484,13608
Line2,2024-03-04,281508,859,22638
Line2,2024-03-05,242254,804,19804
Line2,2024-03-06,255033,801,20686
Line2,2024-03-07,277961,828,22555
Line2,2024-03-08,172478,506,14135
Line2,2024-03-09,149999,492,12476
Line2,2024-03-10,174891,516,14170
Line2,2024-03-11,276484,850,22461
Line2,2024-03-12,262428,838,21434
Line2,2024-03-13,252039,801,20374
Line2,2024-03-14,257707,799,20409
Line2,2024-03-15,149626,479,12218
Line2,2024-03-16,150951,476,12361
Line2,2024-03-17,144056,463,11432
Line2,2024-03-18,252774,769,20333
Line2,2024-03-19,260675,808,21455
Line2,2024-03-20,245347,837,19891
Line2,2024-03-21,258764,837,20534
Line2,2024-03-22,141577,481,11723
Line2,2024-03-23,149207,451,12014
Line2,2024-03-24,156621,496,12717
Line2,2024-03-25,263924,798,21220
Line2,2024-03-26,240865,758,19279
Line2,2024-03-27,255287,789,20818
Line2,2024-03-28,275421,845,22395
Line2,2024-03-29,155559,519,12596
Line2,2024-03-30,162846,470,13112
Line2,2024-03-31,151587,478,12307
Line2,2024-04-01,277828,830,22233
Line2,2024-04-02,291630,857,23468
Line2,2024-04-03,263026,758,21259
Line2,2024-04-04,288479,858,23332
Line2,2024-04-05,157112,484,12691
Line2,2024-04-06,158238,457,13331
Line2,2024-04-07,154530,506,12277
Line2,2024-04-08,242873,773,19781
Line2,2024-04-09,81252,244,6813
Line2,2024-04-10,71913,248,5979
Line2,2024-04-11,78544,245,6236
Line2,2024-04-12,163877,504,13253
Line2,2024-04-13,155354,482,12470
Line2,2024-04-14,159167,484,12836
Line2,2024-04-15,259333,834,20980
Line2,2024-04-16,269061,820,21269
Line2,2024-04-17,279321,870,23116
Line2,2024-04-18,293841,883,23403
Line2,2024-04-19,162297,465,12853
Line2,2024-04-20,155511,493,12687
Line2,2024-04-21,163849,497,13215
Line2,2024-04-22,271369,824,21995
Line2,2024-04-23,259063,767,21183
Line2,2024-04-24,248682,798,20022
Line2,2024-04-25,87987,246,7210
Line2,2024-04-26,169600,507,13340
Line2,2024-04-27,145274,460,11132
Line2,2024-04-28,185507,544,15213
Line2,2024-04-29,269465,812,21793
Line2,2024-04-30,275987,860,21781
Line2,2024-05-01,88370,254,7063
Line2,2024-05-02,280013,859,22991
Line2,2024-05-03,149428,462,11997
Line2,2024-05-04,151716,502,12719
Line2,2024-05-05,76574,250,6243
Line2,2024-05-06,75874,261,6449
Line2,2024-05-07,259974,807,20430
Line2,2024-05-08,260702,812,21354
Line2,2024-05-09,254339,824,20595
Line2,2024-05-10,169535,509,13890
Line2,2024-05-11,141337,452,11390
Line2,2024-05-12,170500,507,13621
Line2,2024-05-13,268580,813,21805
Line2,2024-05-14,255299,752,20365
Line2,2024-05-15,277588,852,22608
Line2,2024-05-16,268287,791,21669
Line2,2024-05-17,147390,481,12125
Line2,2024-05-18,161761,467,13301
Line2,2024-05-19,173372,504,14171
Line2,2024-05-20,248698,792,20571
Line2,2024-05-21,251052,798,20170
Line2,2024-05-22,275471,830,22467
Line2,2024-05-23,254902,756,20428
Line2,2024-05-24,168423,487,13305
Line2,2024-05-25,142743,483,11647
Line2,2024-05-26,156352,483,12647
Line2,2024-05-27,275449,837,22288
Line2,2024-05-28,265019,803,21295
Line2,2024-05-29,257802,794,20775
Line2,2024-05-30,254727,801,20733
Line2,2024-05-31,176253,496,13875
Line2,2024-06-01,179155,555,14517
Line2,2024-06-02,164314,546,13609
Line2,2024-06-03,169621,545,13924
Line2,2024-06-04,187663,621,15388
Line2,2024-06-05,179526,527,14162
Line2,2024-06-06,168325,570,13665
Line2,2024-06-07,187132,626,15239
Line2,2024-06-08,206771,628,16992
Line2,2024-06-09,171975,532,13907
Line2,2024-06-10,161922,551,12960
Line2,2024-06-11,189446,569,15468
Line2,2024-06-12,182814,599,15032
Line2,2024-06-13,183692,612,14932
Line2,2024-06-14,190171,564,15231
Line2,2024-06-15,79309,254,6192
Line2,2024-06-16,73498,226,5890
Line2,2024-06-17,91773,270,7336
Line2,2024-06-18,77150,244,6302
Line2,2024-06-19,83591,234,6498
Line2,2024-06-20,186842,570,14961
Line2,2024-06-21,189330,580,15148
Line2,2024-06-22,184963,567,14895
Line2,2024-06-23,167145,526,13447
Line2,2024-06-24,184120,572,14971
Line2,2024-06-25,201198,624,16320
Line2,2024-06-26,181694,583,15124
Line2,2024-06-27,170442,572,14050
Line2,2024-06-28,174645,574,14483
Line2,2024-06-29,180286,533,14844
Line2,2024-06-30,186681,563,15309
Line2,2024-07-01,194013,601,16014
Line2,2024-07-02,185989,564,15334
Line2,2024-07-03,192317,554,15347
Line2,2024-07-04,171904,570,13684
Line2,2024-07-05,198500,597,15814
Line2,2024-07-06,173655,579,14467
Line2,2024-07-07,76416,238,6017
Line2,2024-07-08,177043,590,14684
Line2,2024-07-09,197048,585,16185
Line2,2024-07-10,204326,604,16828
Line2,2024-07-11,190349,573,15062
Line2,2024-07-12,175980,561,14045
Line2,2024-07-13,179135,561,14683
Line2,2024-07-14,169394,528,13803
Line2,2024-07-15,184192,567,14671
Line2,2024-07-16,170136,546,13460
Line2,2024-07-17,169990,549,13806
Line2,2024-07-18,193764,582,15565
Line2,2024-07-19,172706,571,14634
Line2,2024-07-20,174752,567,13985
Line2,2024-07-21,157835,509,13337
Line2,2024-07-22,176887,536,14673
Line2,2024-07-23,84028,273,6609
Line2,2024-07-24,185432,568,14780
Line2,2024-07-25,189523,602,15260
Line2,2024-07-26,174175,534,14080
Line2,2024-07-27,196497,577,15699
Line2,2024-07-28,191951,580,15202
Line2,2024-07-29,180966,558,14604
Line2,2024-07-30,165803,582,13614
Line2,2024-07-31,188129,559,15113
Line2,2024-08-01,188720,561,14952
Line2,2024-08-02,164081,547,13193
Line2,2024-08-03,169312,565,14125
Line2,2024-08-04,190401,595,15143
Line2,2024-08-05,182140,574,14784
Line2,2024-08-06,186458,609,15445
Line2,2024-08-07,181906,554,14542
Line2,2024-08-08,166999,549,13543
Line2,2024-08-09,181858,582,14798
Line2,2024-08-10,204428,614,16355
Line2,2024-08-11,183804,594,15352
Line2,2024-08-12,177689,569,13735
Line2,2024-08-13,189774,593,15599
Line2,2024-08-14,210335,578,16895
Line2,2024-08-15,178020,603,14753
Line2,2024-08-16,191079,588,15540
Line2,2024-08-17,161835,517,12954
Line2,2024-08-18,161399,548,13763
Line2,2024-08-19,167927,533,13482
Line2,2024-08-20,188923,607,15488
Line2,2024-08-21,196520,629,15980
Line2,2024-08-22,198672,591,16178
Line2,2024-08-23,179498,551,14658
Line2,2024-08-24,201851,641,16142
Line2,2024-08-25,154535,533,12364
Line2,2024-08-26,195371,605,16200
Line2,2024-08-27,190025,566,15468
Line2,2024-08-28,170620,556,13781
Line2,2024-08-29,173936,554,14298
Line2,2024-08-30,179483,581,14714
Line2,2024-08-31,185288,573,15108
Line2,2024-09-01,166749,562,13829
Line2,2024-09-02,164276,531,13395
Line2,2024-09-03,175506,578,14222
Line2,2024-09-04,176995,563,14303
Line2,2024-09-05,211211,607,16964
Line2,2024-09-06,179225,579,14638
Line2,2024-09-07,161494,561,13129
Line2,2024-09-08,180307,576,14648
Line2,2024-09-09,197521,607,15675
Line2,2024-09-10,171291,539,13924
Line2,2024-09-11,195692,602,15380
Line2,2024-09-12,192691,574,15754
Line2,2024-09-13,189412,568,15027
Line2,2024-09-14,169809,561,13786
Line2,2024-09-15,85388,262,6958
Line2,2024-09-16,247367,813,19904
Line2,2024-09-17,279055,838,22552
Line2,2024-09-18,263005,827,21159
Line2,2024-09-19,281958,870,23237
Line2,2024-09-20,176084,521,13810
Line2,2024-09-21,157939,504,12837
Line2,2024-09-22,153435,473,12781
Line2,2024-09-23,272050,850,21652
Line2,2024-09-24,226002,781,18543
Line2,2024-09-25,261840,771,20863
Line2,2024-09-26,261909,840,21389
Line2,2024-09-27,150160,484,12047
Line2,2024-09-28,166737,497,13415
Line2,2024-09-29,155442,490,12748
Line2,2024-09-30,256080,804,20683
Line2,2024-10-01,262041,794,20939
Line2,2024-10-02,279343,868,23199
Line2,2024-10-03,255644,795,20843
Line2,2024-10-04,162567,495,13068
Line2,2024-10-05,157028,506,13090
Line2,2024-10-06,143566,457,11695
Line2,2024-10-07,284379,830,22536
Line2,2024-10-08,255030,820,20453
Line2,2024-10-09,270772,848,22289
Line2,2024-10-10,236145,758,19370
Line2,2024-10-11,163479,523,13176
Line2,2024-10-12,179014,509,14005
Line2,2024-10-13,161000,487,12895
Line2,2024-10-14,251045,828,20764
Line2,2024-10-15,243134,789,19907
Line2,2024-10-16,239244,792,19486
Line2,2024-10-17,280612,839,22271
Line2,2024-10-18,165996,507,13123
Line2,2024-10-19,154596,475,12202
Line2,2024-10-20,177967,529,14259
Line2,2024-10-21,277606,823,22501
Line2,2024-10-22,255938,809,20482
Line2,2024-10-23,266095,814,21572
Line2,2024-10-24,241984,820,20062
Line2,2024-10-25,162320,498,13232
Line2,2024-10-26,153999,481,12408
Line2,2024-10-27,133364,444,10970
Line2,2024-10-28,284494,821,23130
Line2,2024-10-29,244436,803,20004
Line2,2024-10-30,249399,790,20528
Line2,2024-10-31,268140,807,21987
Line2,2024-11-01,164885,535,13348
Line2,2024-11-02,138085,487,11067
Line2,2024-11-03,161663,511,12644
Line2,2024-11-04,284650,849,22968
Line2,2024-11-05,229975,813,18644
Line2,2024-11-06,259322,765,20710
Line2,2024-11-07,277442,870,22766
Line2,2024-11-08,172968,482,13431
Line2,2024-11-09,147305,469,11818
Line2,2024-11-10,157474,473,13228
Line2,2024-11-11,257706,829,21073
Line2,2024-11-12,259766,802,21328
Line2,2024-11-13,261839,795,20653
Line2,2024-11-14,261277,832,21510
Line2,2024-11-15,171754,512,14345
Line2,2024-11-16,162220,476,12733
Line2,2024-11-17,161543,504,13208
Line2,2024-11-18,259698,817,21260
Line2,2024-11-19,236795,807,19772
Line2,2024-11-20,272911,867,22541
Line2,2024-11-21,253372,817,20824
Line2,2024-11-22,147596,480,11936
Line2,2024-11-23,149378,458,11941
Line2,2024-11-24,148512,465,11850
Line2,2024-11-25,230111,781,18629
Line2,2024-11-26,272914,798,21723
Line2,2024-11-27,261619,839,21289
Line2,2024-11-28,256720,820,20822
Line2,2024-11-29,147126,491,11652
Line2,2024-11-30,185756,538,14917
Line2,2024-12-01,159942,493,12969
Line2,2024-12-02,250319,800,20430
Line2,2024-12-03,297381,894,23625
Line2,2024-12-04,259908,824,21418
Line2,2024-12-05,255872,815,21137
Line2,2024-12-06,152430,519,12299
Line2,2024-12-07,149549,454,12079
Line2,2024-12-08,145963,457,11501
Line2,2024-12-09,236627,797,19652
Line2,2024-12-10,261244,836,20887
Line2,2024-12-11,269861,853,22248
Line2,2024-12-12,269572,852,22072
Line2,2024-12-13,178207,521,14177
Line2,2024-12-14,174972,506,13719
Line2,2024-12-15,165034,510,13752
Line2,2024-12-16,249072,789,20050
Line2,2024-12-17,269391,845,22163
Line2,2024-12-18,249657,817,20509
Line2,2024-12-19,299133,829,24032
Line2,2024-12-20,143889,485,11964
Line2,2024-12-21,163965,503,13108
Line2,2024-12-22,176788,509,14146
Line2,2024-12-23,235344,781,19402
Line2,2024-12-24,294153,868,23160
Line2,2024-12-25,244926,830,20425
Line2,2024-12-26,264538,822,21135
Line2,2024-12-27,154898,493,12311
Line2,2024-12-28,133867,467,10938
Line2,2024-12-29,169524,505,13935
Line2,2024-12-30,273988,842,22290
Line2,2024-12-31,249877,774,19909
Line3,2024-01-01,105994,312,8719
Line3,2024-01-02,324485,950,26509
