origin_station_id,origin_station_name,origin_line_id,destination_station_id,destination_station_name,destination_line_id,year,month,total_trips,total_passengers,total_revenue_egp,avg_stations_traveled,avg_ticket_price_egp
49,Shubra El Kheima,Line2,24,Hammamat El Qobba,Line1,2024,1,37,997,12899,15.3,12.86
50,Adly Mansour,Line3,48,Koliet El Zeraa,Line2,2024,1,37,584,7616,15.5,12.95
50,Adly Mansour,Line3,66,El Geish,Line3,2024,1,37,754,9048,16.0,12.0
58,Heliopolis Square,Line3,34,Sakiat Mekky,Line2,2024,1,37,1055,13671,15.9,13.08
62,Stadium,Line3,74,El Qawmia,Line3,2024,1,37,587,7044,12.0,12.0
67,Bab El Shaaria,Line3,14,El Zahra,Line1,2024,1,37,1064,12911,15.7,13.08
68,Maspero,Line3,33,El Mounib,Line2,2024,1,37,770,9745,14.6,12.51
68,Maspero,Line3,70,Kit Kat,Line3,2024,1,37,777,6216,2.0,8.0
72,Imbaba,Line3,13,Dar El Salam,Line1,2024,1,37,1008,12194,16.0,13.03
80,Nasser,Transfer_Line1/Line3,65,Abdou Pasha,Line3,2024,1,37,783,10709,15.8,13.38
3,Helwan University,Line1,4,Wadi Hof,Line1,2024,1,36,810,6480,1.0,8.0
3,Helwan University,Line1,78,Al Shohadaa,Transfer_Line1/Line2,2024,1,36,905,12461,16.4,13.36
11,El Maadi,Line1,25,Saray El Qobba,Line1,2024,1,36,939,11268,14.0,12.0
17,Sayeda Zeinab,Line1,34,Sakiat Mekky,Line2,2024,1,36,921,12537,17.9,14.28
21,El Demerdash,Line1,30,Ezbet El Nakhl,Line1,2024,1,36,639,5112,9.0,8.0
21,El Demerdash,Line1,62,Stadium,Line3,2024,1,36,1056,14221,17.3,13.89
29,Ain Shams,Line1,6,El Maasara,Line1,2024,1,36,700,10500,23.0,15.0
29,Ain Shams,Line1,21,El Demerdash,Line1,2024,1,36,1108,8864,8.0,8.0
33,El Mounib,Line2,1,Helwan,Line1,2024,1,36,952,13409,16.7,13.75
37,Faisal,Line2,61,Koleyet El Banat,Line3,2024,1,36,873,10257,13.6,11.97
49,Shubra El Kheima,Line2,21,El Demerdash,Line1,2024,1,36,1153,17382,16.9,14.14
49,Shubra El Kheima,Line2,52,Omar Ibn El Khattab,Line3,2024,1,36,599,7434,15.7,13.25
49,Shubra El Kheima,Line2,75,Ring Road,Line3,2024,1,36,929,12655,17.9,14.42
50,Adly Mansour,Line3,23,Kobri El Qobba,Line1,2024,1,36,894,12235,17.5,14.11
50,Adly Mansour,Line3,56,Nadi El Shams,Line3,2024,1,36,829,6632,6.0,8.0
55,El Nozha,Line3,30,Ezbet El Nakhl,Line1,2024,1,36,823,10625,16.1,13.28
55,El Nozha,Line3,57,Alf Maskan,Line3,2024,1,36,898,7184,2.0,8.0
58,Heliopolis Square,Line3,30,Ezbet El Nakhl,Line1,2024,1,36,654,8552,16.9,13.5
58,Heliopolis Square,Line3,39,El Bohoos,Line2,2024,1,36,783,10750,16.9,13.25
62,Stadium,Line3,19,Orabi,Line1,2024,1,36,1094,13982,15.4,13.14
64,Abbassia,Line3,47,Mezallat,Line2,2024,1,36,826,10420,16.1,13.03
67,Bab El Shaaria,Line3,10,Sakanat El Maadi,Line1,2024,1,36,700,9091,16.0,13.42
67,Bab El Shaaria,Line3,60,Al Ahram,Line3,2024,1,36,1053,8424,7.0,8.0
70,Kit Kat,Line3,45,St. Teresa,Line2,2024,1,36,817,10895,16.4,13.53
72,Imbaba,Line3,46,Khalafawy,Line2,2024,1,36,944,11931,15.2,13.25
77,Sadat,Transfer_Line1/Line2,39,El Bohoos,Line2,2024,1,36,1052,15228,16.2,13.61
77,Sadat,Transfer_Line1/Line2,49,Shubra El Kheima,Line2,2024,1,36,916,12204,16.6,13.58
78,Al Shohadaa,Transfer_Line1/Line2,10,Sakanat El Maadi,Line1,2024,1,36,798,10551,14.9,12.53
78,Al Shohadaa,Transfer_Line1/Line2,55,El Nozha,Line3,2024,1,36,916,11822,15.9,13.17
79,Attaba,Transfer_Line2/Line3,43,Masarra,Line2,2024,1,36,916,11555,14.7,12.61
3,Helwan University,Line1,15,Mar Girgis,Line1,2024,1,35,788,9456,12.0,12.0
11,El Maadi,Line1,7,Tura El Asmant,Line1,2024,1,35,855,6840,4.0,8.0
11,El Maadi,Line1,44,Road El Farag,Line2,2024,1,35,899,11610,14.8,12.74
16,El Malek El Saleh,Line1,15,Mar Girgis,Line1,2024,1,35,864,6912,1.0,8.0
16,El Malek El Saleh,Line1,47,Mezallat,Line2,2024,1,35,936,14080,17.2,13.94
16,El Malek El Saleh,Line1,72,Imbaba,Line3,2024,1,35,1171,14925,15.5,12.94
17,Sayeda Zeinab,Line1,30,Ezbet El Nakhl,Line1,2024,1,35,1116,13392,13.0,12.0
17,Sayeda Zeinab,Line1,43,Masarra,Line2,2024,1,35,849,10685,14.5,12.63
18,Saad Zaghloul,Line1,37,Faisal,Line2,2024,1,35,761,9072,14.8,12.71
18,Saad Zaghloul,Line1,62,Stadium,Line3,2024,1,35,850,11412,16.2,13.11
20,Ghamra,Line1,29,Ain Shams,Line1,2024,1,35,1035,8280,9.0,8.0
20,Ghamra,Line1,46,Khalafawy,Line2,2024,1,35,1062,15055,16.5,13.83
21,El Demerdash,Line1,38,Cairo University,Line2,2024,1,35,986,13785,17.2,14.09
21,El Demerdash,Line1,75,Ring Road,Line3,2024,1,35,1017,12959,15.8,13.17
29,Ain Shams,Line1,1,Helwan,Line1,2024,1,35,1140,22800,28.0,20.0
29,Ain Shams,Line1,62,Stadium,Line3,2024,1,35,901,12382,16.0,13.03
33,El Mounib,Line2,18,Saad Zaghloul,Line1,2024,1,35,757,10117,16.1,13.83
36,Giza,Line2,7,Tura El Asmant,Line1,2024,1,35,971,13187,17.5,13.8
36,Giza,Line2,13,Dar El Salam,Line1,2024,1,35,1215,15741,16.5,13.57
36,Giza,Line2,18,Saad Zaghloul,Line1,2024,1,35,997,11760,15.5,12.57
36,Giza,Line2,27,Helmeyet El Zaitoun,Line1,2024,1,35,1057,13487,16.8,13.4
36,Giza,Line2,29,Ain Shams,Line1,2024,1,35,797,10689,17.6,13.94
37,Faisal,Line2,54,Hesham Barakat,Line3,2024,1,35,1142,15847,16.0,12.89
38,Cairo University,Line2,19,Orabi,Line1,2024,1,35,1096,13099,15.3,12.66
38,Cairo University,Line2,20,Ghamra,Line1,2024,1,35,754,9464,14.9,12.71
40,Dokki,Line2,10,Sakanat El Maadi,Line1,2024,1,35,895,12182,15.5,13.09
40,Dokki,Line2,76,Rod El Farag Corridor,Line3,2024,1,35,1053,13656,16.2,13.29
44,Road El Farag,Line2,38,Cairo University,Line2,2024,1,35,844,6752,6.0,8.0
49,Shubra El Kheima,Line2,32,New El Marg,Line1,2024,1,35,859,10868,14.8,12.49
49,Shubra El Kheima,Line2,38,Cairo University,Line2,2024,1,35,1011,12132,11.0,12.0
50,Adly Mansour,Line3,11,El Maadi,Line1,2024,1,35,1178,14784,15.4,12.86
50,Adly Mansour,Line3,58,Heliopolis Square,Line3,2024,1,35,751,6008,8.0,8.0
58,Heliopolis Square,Line3,66,El Geish,Line3,2024,1,35,1175,9400,8.0,8.0
62,Stadium,Line3,2,Ain Helwan,Line1,2024,1,35,938,11771,15.6,13.03
62,Stadium,Line3,22,Manshiet El Sadr,Line1,2024,1,35,842,10159,14.9,12.77
62,Stadium,Line3,30,Ezbet El Nakhl,Line1,2024,1,35,800,9324,14.7,12.94
62,Stadium,Line3,40,Dokki,Line2,2024,1,35,1001,14440,16.8,14.09
64,Abbassia,Line3,34,Sakiat Mekky,Line2,2024,1,35,959,11933,14.4,12.17
67,Bab El Shaaria,Line3,12,Hadayek El Maadi,Line1,2024,1,35,968,14734,17.9,14.69
67,Bab El Shaaria,Line3,27,Helmeyet El Zaitoun,Line1,2024,1,35,719,10083,17.4,13.77
68,Maspero,Line3,32,New El Marg,Line1,2024,1,35,893,11341,16.0,13.0
68,Maspero,Line3,43,Masarra,Line2,2024,1,35,927,12533,15.6,13.09
68,Maspero,Line3,65,Abdou Pasha,Line3,2024,1,35,763,6104,3.0,8.0
70,Kit Kat,Line3,19,Orabi,Line1,2024,1,35,849,10808,15.8,12.97
72,Imbaba,Line3,28,El Matareyya,Line1,2024,1,35,908,12157,16.9,13.66
72,Imbaba,Line3,66,El Geish,Line3,2024,1,35,941,7528,6.0,8.0
77,Sadat,Transfer_Line1/Line2,22,Manshiet El Sadr,Line1,2024,1,35,1003,13112,16.5,13.43
79,Attaba,Transfer_Line2/Line3,37,Faisal,Line2,2024,1,35,591,7776,16.3,13.31
80,Nasser,Transfer_Line1/Line3,19,Orabi,Line1,2024,1,35,959,12469,14.7,12.69
3,Helwan University,Line1,25,Saray El Qobba,Line1,2024,1,34,844,12660,22.0,15.0
3,Helwan University,Line1,26,Hadayek El Zaitoun,Line1,2024,1,34,890,13350,23.0,15.0
3,Helwan University,Line1,35,Omm El Masryeen,Line2,2024,1,34,978,13683,16.4,13.56
3,Helwan University,Line1,46,Khalafawy,Line2,2024,1,34,964,12399,16.5,13.09
11,El Maadi,Line1,12,Hadayek El Maadi,Line1,2024,1,34,841,6728,1.0,8.0
11,El Maadi,Line1,31,El Marg,Line1,2024,1,34,954,14310,20.0,15.0
11,El Maadi,Line1,59,Haroun,Line3,2024,1,34,809,11705,16.6,14.24
17,Sayeda Zeinab,Line1,13,Dar El Salam,Line1,2024,1,34,864,6912,4.0,8.0
18,Saad Zaghloul,Line1,19,Orabi,Line1,2024,1,34,778,6224,1.0,8.0
18,Saad Zaghloul,Line1,68,Maspero,Line3,2024,1,34,1144,13796,15.9,12.91
20,Ghamra,Line1,42,Mohamed Naguib,Line2,2024,1,34,842,11373,16.4,13.21
20,Ghamra,Line1,80,Nasser,Transfer_Line1/Line3,2024,1,34,683,8777,15.5,13.26
21,El Demerdash,Line1,36,Giza,Line2,2024,1,34,795,10892,15.8,13.26
21,El Demerdash,Line1,51,El Haykestep,Line3,2024,1,34,915,11723,14.8,12.62
21,El Demerdash,Line1,66,El Geish,Line3,2024,1,34,944,10798,14.6,12.32
21,El Demerdash,Line1,78,Al Shohadaa,Transfer_Line1/Line2,2024,1,34,590,7438,14.9,12.68
29,Ain Shams,Line1,47,Mezallat,Line2,2024,1,34,674,9099,16.1,13.41
33,El Mounib,Line2,14,El Zahra,Line1,2024,1,34,935,12855,15.6,13.15
33,El Mounib,Line2,23,Kobri El Qobba,Line1,2024,1,34,775,9999,15.2,13.12
33,El Mounib,Line2,32,New El Marg,Line1,2024,1,34,757,9109,15.0,12.53
33,El Mounib,Line2,44,Road El Farag,Line2,2024,1,34,924,11088,11.0,12.0
36,Giza,Line2,6,El Maasara,Line1,2024,1,34,1382,18102,15.6,12.97
38,Cairo University,Line2,76,Rod El Farag Corridor,Line3,2024,1,34,857,11796,15.9,13.12
40,Dokki,Line2,19,Orabi,Line1,2024,1,34,760,9618,15.1,12.5
40,Dokki,Line2,31,El Marg,Line1,2024,1,34,878,11805,15.6,13.06
40,Dokki,Line2,42,Mohamed Naguib,Line2,2024,1,34,833,6664,2.0,8.0
40,Dokki,Line2,72,Imbaba,Line3,2024,1,34,764,10942,17.5,14.03
44,Road El Farag,Line2,4,Wadi Hof,Line1,2024,1,34,1002,13038,17.2,13.65
50,Adly Mansour,Line3,34,Sakiat Mekky,Line2,2024,1,34,1008,14076,17.5,13.97
55,El Nozha,Line3,5,Hadayek Helwan,Line1,2024,1,34,883,11104,14.7,12.32
55,El Nozha,Line3,36,Giza,Line2,2024,1,34,717,9793,16.3,13.56
55,El Nozha,Line3,58,Heliopolis Square,Line3,2024,1,34,959,7672,3.0,8.0
58,Heliopolis Square,Line3,14,El Zahra,Line1,2024,1,34,725,9008,17.0,13.71
62,Stadium,Line3,67,Bab El Shaaria,Line3,2024,1,34,606,4848,5.0,8.0
64,Abbassia,Line3,7,Tura El Asmant,Line1,2024,1,34,1011,14365,15.1,13.29
64,Abbassia,Line3,25,Saray El Qobba,Line1,2024,1,34,845,11369,16.4,13.91
67,Bab El Shaaria,Line3,18,Saad Zaghloul,Line1,2024,1,34,778,10908,16.6,13.65
67,Bab El Shaaria,Line3,55,El Nozha,Line3,2024,1,34,1010,12120,12.0,12.0
70,Kit Kat,Line3,16,El Malek El Saleh,Line1,2024,1,34,1053,12868,15.2,12.76
70,Kit Kat,Line3,29,Ain Shams,Line1,2024,1,34,780,10228,17.0,13.79
70,Kit Kat,Line3,46,Khalafawy,Line2,2024,1,34,1113,13916,14.7,12.5
77,Sadat,Transfer_Line1/Line2,18,Saad Zaghloul,Line1,2024,1,34,940,12018,16.2,13.53
79,Attaba,Transfer_Line2/Line3,60,Al Ahram,Line3,2024,1,34,885,11340,14.6,12.59
79,Attaba,Transfer_Line2/Line3,74,El Qawmia,Line3,2024,1,34,732,10041,17.2,13.91
80,Nasser,Transfer_Line1/Line3,11,El Maadi,Line1,2024,1,34,853,11546,16.3,13.35
80,Nasser,Transfer_Line1/Line3,21,El Demerdash,Line1,2024,1,34,1217,16468,15.8,13.21
80,Nasser,Transfer_Line1/Line3,22,Manshiet El Sadr,Line1,2024,1,34,749,9122,16.3,13.09
80,Nasser,Transfer_Line1/Line3,66,El Geish,Line3,2024,1,34,921,11162,15.3,12.65
80,Nasser,Transfer_Line1/Line3,79,Attaba,Transfer_Line2/Line3,2024,1,34,817,10433,16.2,13.5
3,Helwan University,Line1,5,Hadayek Helwan,Line1,2024,1,33,697,5576,2.0,8.0
3,Helwan University,Line1,33,El Mounib,Line2,2024,1,33,795,10155,15.4,13.24
3,Helwan University,Line1,52,Omar Ibn El Khattab,Line3,2024,1,33,1023,13495,15.7,12.85
11,El Maadi,Line1,4,Wadi Hof,Line1,2024,1,33,670,5360,7.0,8.0
11,El Maadi,Line1,24,Hammamat El Qobba,Line1,2024,1,33,798,9576,13.0,12.0
11,El Maadi,Line1,38,Cairo University,Line2,2024,1,33,648,8514,15.8,13.45
16,El Malek El Saleh,Line1,1,Helwan,Line1,2024,1,33,911,10932,15.0,12.0
16,El Malek El Saleh,Line1,50,Adly Mansour,Line3,2024,1,33,676,9216,17.3,14.18
17,Sayeda Zeinab,Line1,25,Saray El Qobba,Line1,2024,1,33,1232,9856,8.0,8.0
17,Sayeda Zeinab,Line1,37,Faisal,Line2,2024,1,33,589,7941,16.0,13.55
18,Saad Zaghloul,Line1,16,El Malek El Saleh,Line1,2024,1,33,1113,8904,2.0,8.0
18,Saad Zaghloul,Line1,25,Saray El Qobba,Line1,2024,1,33,914,7312,7.0,8.0
18,Saad Zaghloul,Line1,80,Nasser,Transfer_Line1/Line3,2024,1,33,1027,13548,16.9,14.06
20,Ghamra,Line1,73,El Bohy,Line3,2024,1,33,1027,13446,15.2,13.15
21,El Demerdash,Line1,61,Koleyet El Banat,Line3,2024,1,33,1070,14556,16.1,13.33
21,El Demerdash,Line1,63,Fair Zone,Line3,2024,1,33,949,13831,17.5,14.03
29,Ain Shams,Line1,15,Mar Girgis,Line1,2024,1,33,888,10656,14.0,12.0
29,Ain Shams,Line1,24,Hammamat El Qobba,Line1,2024,1,33,935,7480,5.0,8.0
29,Ain Shams,Line1,58,Heliopolis Square,Line3,2024,1,33,1064,13190,14.1,12.18
33,El Mounib,Line2,11,El Maadi,Line1,2024,1,33,1250,16117,15.0,13.03
33,El Mounib,Line2,46,Khalafawy,Line2,2024,1,33,766,9192,13.0,12.0
33,El Mounib,Line2,58,Heliopolis Square,Line3,2024,1,33,904,11125,15.4,12.67
33,El Mounib,Line2,78,Al Shohadaa,Transfer_Line1/Line2,2024,1,33,939,11689,16.7,13.18
36,Giza,Line2,5,Hadayek Helwan,Line1,2024,1,33,720,9493,15.7,13.03
36,Giza,Line2,38,Cairo University,Line2,2024,1,33,902,7216,2.0,8.0
36,Giza,Line2,70,Kit Kat,Line3,2024,1,33,917,12182,16.1,12.97
37,Faisal,Line2,18,Saad Zaghloul,Line1,2024,1,33,1074,14124,14.7,12.33
37,Faisal,Line2,35,Omm El Masryeen,Line2,2024,1,33,1115,8920,2.0,8.0
38,Cairo University,Line2,6,El Maasara,Line1,2024,1,33,726,8963,15.4,12.73
38,Cairo University,Line2,35,Omm El Masryeen,Line2,2024,1,33,680,5440,3.0,8.0
38,Cairo University,Line2,37,Faisal,Line2,2024,1,33,660,5280,1.0,8.0
38,Cairo University,Line2,46,Khalafawy,Line2,2024,1,33,877,7016,8.0,8.0
40,Dokki,Line2,37,Faisal,Line2,2024,1,33,599,4792,3.0,8.0
41,Opera,Line2,48,Koliet El Zeraa,Line2,2024,1,33,742,5936,7.0,8.0
41,Opera,Line2,61,Koleyet El Banat,Line3,2024,1,33,833,10865,15.3,12.94
41,Opera,Line2,69,Safaa Hegazy,Line3,2024,1,33,693,9753,16.0,13.42
44,Road El Farag,Line2,3,Helwan University,Line1,2024,1,33,849,10839,16.6,13.39
44,Road El Farag,Line2,20,Ghamra,Line1,2024,1,33,590,6718,14.8,12.79
49,Shubra El Kheima,Line2,17,Sayeda Zeinab,Line1,2024,1,33,795,11232,16.6,13.36
50,Adly Mansour,Line3,29,Ain Shams,Line1,2024,1,33,1168,15305,16.0,13.03
55,El Nozha,Line3,38,Cairo University,Line2,2024,1,33,979,12723,15.8,13.24
55,El Nozha,Line3,71,Sudan,Line3,2024,1,33,686,8232,16.0,12.0
58,Heliopolis Square,Line3,12,Hadayek El Maadi,Line1,2024,1,33,941,11897,15.4,13.12
58,Heliopolis Square,Line3,21,El Demerdash,Line1,2024,1,33,964,13073,14.8,12.61
58,Heliopolis Square,Line3,41,Opera,Line2,2024,1,33,920,11848,16.3,13.45
62,Stadium,Line3,48,Koliet El Zeraa,Line2,2024,1,33,992,11794,15.5,12.58
62,Stadium,Line3,58,Heliopolis Square,Line3,2024,1,33,955,7640,4.0,8.0
62,Stadium,Line3,60,Al Ahram,Line3,2024,1,33,718,5744,2.0,8.0
64,Abbassia,Line3,24,Hammamat El Qobba,Line1,2024,1,33,967,12747,15.7,12.94
67,Bab El Shaaria,Line3,62,Stadium,Line3,2024,1,33,763,6104,5.0,8.0
68,Maspero,Line3,12,Hadayek El Maadi,Line1,2024,1,33,830,11238,15.0,12.58
68,Maspero,Line3,50,Adly Mansour,Line3,2024,1,33,899,13485,18.0,15.0
70,Kit Kat,Line3,30,Ezbet El Nakhl,Line1,2024,1,33,789,10678,15.2,12.85
70,Kit Kat,Line3,38,Cairo University,Line2,2024,1,33,1018,13642,15.8,13.48
70,Kit Kat,Line3,41,Opera,Line2,2024,1,33,806,10773,16.3,13.45
70,Kit Kat,Line3,77,Sadat,Transfer_Line1/Line2,2024,1,33,641,8411,15.7,12.76
72,Imbaba,Line3,30,Ezbet El Nakhl,Line1,2024,1,33,803,11493,17.5,14.09
72,Imbaba,Line3,47,Mezallat,Line2,2024,1,33,761,10356,16.6,13.42
72,Imbaba,Line3,53,Qobaa,Line3,2024,1,33,950,14250,19.0,15.0
77,Sadat,Transfer_Line1/Line2,7,Tura El Asmant,Line1,2024,1,33,966,13718,17.0,13.48
77,Sadat,Transfer_Line1/Line2,35,Omm El Masryeen,Line2,2024,1,33,765,9404,14.8,12.82
77,Sadat,Transfer_Line1/Line2,60,Al Ahram,Line3,2024,1,33,741,10358,17.4,14.15
78,Al Shohadaa,Transfer_Line1/Line2,15,Mar Girgis,Line1,2024,1,33,782,9838,16.5,13.24
78,Al Shohadaa,Transfer_Line1/Line2,23,Kobri El Qobba,Line1,2024,1,33,947,11687,15.7,13.45
78,Al Shohadaa,Transfer_Line1/Line2,24,Hammamat El Qobba,Line1,2024,1,33,627,8643,17.5,14.03
78,Al Shohadaa,Transfer_Line1/Line2,28,El Matareyya,Line1,2024,1,33,896,11984,16.3,13.7
78,Al Shohadaa,Transfer_Line1/Line2,30,Ezbet El Nakhl,Line1,2024,1,33,722,9018,15.3,13.27
78,Al Shohadaa,Transfer_Line1/Line2,43,Masarra,Line2,2024,1,33,702,9771,16.8,13.76
78,Al Shohadaa,Transfer_Line1/Line2,61,Koleyet El Banat,Line3,2024,1,33,981,12910,15.7,12.76
79,Attaba,Transfer_Line2/Line3,39,El Bohoos,Line2,2024,1,33,528,7434,16.8,13.79
80,Nasser,Transfer_Line1/Line3,51,El Haykestep,Line3,2024,1,33,951,12766,15.4,12.55
80,Nasser,Transfer_Line1/Line3,68,Maspero,Line3,2024,1,33,1088,14530,15.3,12.73
3,Helwan University,Line1,6,El Maasara,Line1,2024,1,32,913,7304,3.0,8.0
3,Helwan University,Line1,30,Ezbet El Nakhl,Line1,2024,1,32,910,18200,27.0,20.0
3,Helwan University,Line1,31,El Marg,Line1,2024,1,32,809,16180,28.0,20.0
11,El Maadi,Line1,46,Khalafawy,Line2,2024,1,32,908,12907,16.2,13.47
11,El Maadi,Line1,49,Shubra El Kheima,Line2,2024,1,32,894,12183,16.8,13.62
11,El Maadi,Line1,76,Rod El Farag Corridor,Line3,2024,1,32,662,8516,16.1,13.41
16,El Malek El Saleh,Line1,10,Sakanat El Maadi,Line1,2024,1,32,848,6784,6.0,8.0
16,El Malek El Saleh,Line1,44,Road El Farag,Line2,2024,1,32,731,9467,15.4,13.19
16,El Malek El Saleh,Line1,45,St. Teresa,Line2,2024,1,32,666,8745,16.9,13.41
16,El Malek El Saleh,Line1,46,Khalafawy,Line2,2024,1,32,736,9998,16.4,13.53
16,El Malek El Saleh,Line1,57,Alf Maskan,Line3,2024,1,32,974,13423,15.4,13.03
17,Sayeda Zeinab,Line1,66,El Geish,Line3,2024,1,32,977,12081,14.2,12.44
17,Sayeda Zeinab,Line1,80,Nasser,Transfer_Line1/Line3,2024,1,32,758,10749,17.3,13.78
18,Saad Zaghloul,Line1,10,Sakanat El Maadi,Line1,2024,1,32,874,6992,8.0,8.0
18,Saad Zaghloul,Line1,15,Mar Girgis,Line1,2024,1,32,658,5264,3.0,8.0
18,Saad Zaghloul,Line1,45,St. Teresa,Line2,2024,1,32,927,13374,17.3,13.84
18,Saad Zaghloul,Line1,79,Attaba,Transfer_Line2/Line3,2024,1,32,726,10357,16.2,13.75
20,Ghamra,Line1,8,Kozzika,Line1,2024,1,32,904,10848,12.0,12.0
20,Ghamra,Line1,10,Sakanat El Maadi,Line1,2024,1,32,772,9264,10.0,12.0
20,Ghamra,Line1,25,Saray El Qobba,Line1,2024,1,32,697,5576,5.0,8.0
